Source,Target,Weight,Type
Dickens, Charles_Going into Society,Twain, Mark_Editorial Wild Oats,3,undirected
Dickens, Charles_Great Expectations,Dickens, Charles_David Copperfield,5,undirected
Dickens, Charles_Great Expectations,Dickens, Charles_Our Mutual Friend,1,undirected
Dickens, Charles_Great Expectations,Dickens, Charles_The Personal History of David Copperfield,4,undirected
Dickens, Charles_Hard Times,Dickens, Charles_Bleak House,3,undirected
Dickens, Charles_Hard Times,Dickens, Charles_Little Dorrit,5,undirected
Dickens, Charles_Hard Times,Dickens, Charles_Our Mutual Friend,4,undirected
Dickens, Charles_Hard Times,Dickens, Charles_The Mystery of Edwin Drood,2,undirected
Dickens, Charles_Holiday Romance,Dickens, Charles_Somebody's Luggage,1,undirected
Dickens, Charles_Holiday Romance,Dickens, Charles_The Holly-Tree,2,undirected
Dickens, Charles_Holiday Romance,Twain, Mark_Life on the Mississippi, Part 3.,3,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_A Tale of Two Cities,3,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Bleak House,3,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Dickens' Stories About Children Every Child Can Read,2,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Dombey and Son,3,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Hard Times,5,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Martin Chuzzlewit,5,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Nicholas Nickleby,1,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_The Cricket on the Hearth,3,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_A Christmas Carol in Prose; Being a Ghost Story of Christmas,1,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_A Christmas Carol,1,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_A Tale of Two Cities,1,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_Dombey and Son,4,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_Little Dorrit,5,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_Nicholas Nickleby,6,undirected
Dickens, Charles_Martin Chuzzlewit,Dickens, Charles_The Battle of Life. A Love Story,2,undirected
Dickens, Charles_Master Humphrey's Clock,Dickens, Charles_Nicholas Nickleby,2,undirected
Dickens, Charles_Master Humphrey's Clock,Dickens, Charles_Oliver Twist, Vol. 2 (of 3),1,undirected
Dickens, Charles_Master Humphrey's Clock,Dickens, Charles_The Old Curiosity Shop,3,undirected
Dickens, Charles_Mrs. Lirriper's Legacy,Dickens, Charles_Doctor Marigold,1,undirected
Dickens, Charles_Mrs. Lirriper's Legacy,Dickens, Charles_Mrs. Lirriper's Lodgings,6,undirected
Dickens, Charles_Mrs. Lirriper's Legacy,Dickens, Charles_Mugby Junction,1,undirected
Dickens, Charles_Mrs. Lirriper's Legacy,Dickens, Charles_Somebody's Luggage,2,undirected
