Source,Target,Weight,Type
43207,46675-0,3,undirected
Dickens, Charles_The Battle of Life. A Love Story,Dickens, Charles_Mugby Junction,2,undirected
Dickens, Charles_The Battle of Life. A Love Story,Dickens, Charles_Nicholas Nickleby,3,undirected
Dickens, Charles_The Battle of Life. A Love Story,Dickens, Charles_The Cricket on the Hearth,4,undirected
Dickens, Charles_The Cricket on the Hearth,Dickens, Charles_Little Dorrit,3,undirected
Dickens, Charles_The Cricket on the Hearth,Dickens, Charles_Nicholas Nickleby,1,undirected
Dickens, Charles_The Cricket on the Hearth,Dickens, Charles_The Battle of Life. A Love Story,4,undirected
Dickens, Charles_The Lamplighter,43207,1,undirected
Dickens, Charles_The Lamplighter,Twain, Mark_Editorial Wild Oats,3,undirected
Dickens, Charles_The Lamplighter,Twain, Mark_The Curious Republic of Gondour, and Other Whimsical Sketches,2,undirected
Dickens, Charles_The Personal History of David Copperfield,883-0,1,undirected
Dickens, Charles_The Personal History of David Copperfield,Dickens, Charles_Bleak House,4,undirected
Dickens, Charles_The Personal History of David Copperfield,Dickens, Charles_Little Dorrit,2,undirected
James, Henry_A Bundle of Letters,James, Henry_The Author of Beltraffio,3,undirected
James, Henry_A Bundle of Letters,James, Henry_The Portrait of a Lady - Volume 1,2,undirected
James, Henry_A Bundle of Letters,Twain, Mark_Mark Twain's Speeches,1,undirected
James, Henry_Four Meetings,Dickens, Charles_Mugby Junction,1,undirected
James, Henry_Four Meetings,James, Henry_The American,2,undirected
James, Henry_Four Meetings,James, Henry_The Author of Beltraffio,3,undirected
James, Henry_Louisa Pallant,James, Henry_The Author of Beltraffio,3,undirected
James, Henry_Louisa Pallant,James, Henry_The Coxon Fund,5,undirected
James, Henry_Louisa Pallant,James, Henry_The Figure in the Carpet,1,undirected
James, Henry_Louisa Pallant,James, Henry_The Tragic Muse,1,undirected
James, Henry_Louisa Pallant,James, Henry_The Turn of the Screw,1,undirected
James, Henry_Madame De Mauves,James, Henry_Nona Vincent,3,undirected
James, Henry_Madame De Mauves,James, Henry_The Author of Beltraffio,3,undirected
James, Henry_Madame De Mauves,James, Henry_The Tragic Muse,2,undirected
